excel_row,docente,ano,periodico,doi_identificado,issn_identificado,titulo_extraido_local
474,Saulo Fernandes Melo de Oliveira,,Biomedical Journal of Scientific and Technical Research,,,Effect of Excess Weight on Health Expenditure with Diabetic Patients in Primary Health Care
476,Paulo Roberto Cavalcanti Carvalho,,REVISTA ELETRÔNICA ACERVO EM SAÚDE,,,"Efeitos de um programa de intervencao de atividade fisica, educacao e promocao de saude com idosos hipertensos usuarios do Sistema Unico de Saude"
477,Paulo Felipe Ribeiro Bandeira,,MACABÉA- REVISTA ELETRONICA DO NETLLI,,,NCLUSIVE PHYSICAL EDUCATION IN THE PERSPECTIVE OF COMPLEXITY: A NARRATIVE REVIEW STUDY
478,Daniela Karina da Silva Ferreira,,Revista Saúde e Pesquisa,,,Atividade fisica e niveis de ansiedade em escolares da rede privada e publica de Recife-PE-Brasil
481,André dos Santos Costa,,Revista de Neurociências,,,Microbiota Intestinal e Sistema Nervoso Central: explorando o eixo cerebro e intestino
482,André dos Santos Costa,,RBNE - Revista Brasileira de Nutrição Esportiva,,,Suplementacao de Nitrato no Desempenho durante Exercicio Intermitente de Alta Intensidade: uma revisao de literatura
483,Eduardo Zapaterra Campos,,RBNE - Revista Brasileira de Nutrição Esportiva,,,SUPLEMENTACAO DE NITRATO NO DESEMPENHO DURANTE EXERCICIO INTERMITENTE DE ALTA INTENSIDADE: UMA REVISAO DE LITERATURA
484,André dos Santos Costa,,"REVISTA BRASILEIRA DE OBESIDADE, NUTRIÇÃO E EMAGRECIMENTO",,1373-1385,"REVISTA BRASILEIRA DE OBESIDADE, NUTRICAO E EMAGRECIMENTO, v"
485,André dos Santos Costa,,"GERIATRICS, GERONTOLOGY AND AGING",,,Efeitos de programas de exercicios fisicos domiciliares na cognicao de idosos: uma revisao integrativa
486,Paulo Felipe Ribeiro Bandeira,,REVISTA PSICOLOGIA: ORGANIZAÇÕES E TRABALHO,,2269-2280,"As Empresas Juniores Contribuem para Mudancas Pessoais em Universitarios?Submissao: 23/10/2022 (fast track)Primeira Decisao Editorial: 28/12/2022Versao Final: 30/12/2022Aceito em: 30/12/2022Do Junior Enterprises Provide Personal Changes in University Students?¿Contribuyen las Empresas Junior a Cambios Personales en Estudiantes Universitarios?Como citar esse artigo: Silva, J"
488,Paulo Felipe Ribeiro Bandeira,,Revista de Extensão da URCA,,,CUIDADO INTERDISICPLINAR NO CAPSi: SAUDE MENTAL EM FOCO Autores
493,Ozeas de Lima Lins Filho,,Sleep Science (Online),,,VALIDATION OF A PORTABLE RESPIRATORY MONITORING SYSTEM FOR THE DIAGNOSIS OF OBSTRUCTIVE SLEEP APNEA IN PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE: A CROSS-SECTIONAL STUDY
500,Clarice Maria de Lucena Martins,,,,,"Associations Between Motor Competence, Moderate-to-Vigorous Physical Activity, and Body Mass Index Among Preschoolers Over 1 Year"
501,Saulo Fernandes Melo de Oliveira,,Revista Brasileira de Educação Física e Esporte,,,Comparative analysis of Amputee Soccer players and coach perception of intensity training
502,Clarice Maria de Lucena Martins,,JOURNAL OF AGING AND PHYSICAL ACTIVITY,,,Prevalence and Sociodemographic Correlates of Meeting the 24-Hour Movement Guidelines Among Low-Income Brazilian Older Adults With Chronic Diseases
503,Leonardo Gomes de Oliveira Luz,,Human movement,,,"Maturity-associated variations in anthropometry, physical fitness, and sport-specific skills among young male and female futsal players"
504,Bruno Teixeira Barbosa,,CUADERNOS DE PSICOLOGIA DEL DEPORTE,,,The Relative Age Effect on YoungAthletes of Para-Athletics: Birth quartile analysis and performance in individual athletic events
505,Bruno Teixeira Barbosa,,SALUD MENTAL,,,"Smartphone addiction is associated with symptoms of anxiety, depression, stress, tension, confusion, and insomnia: A cross-sectional and comparative study with physically and non-physically active adults in self-isolation during the COVID-19 pandemic"
507,Paulo Felipe Ribeiro Bandeira,,REVISTA ENFERMAGEM ATUAL IN DERME,,,CUSTOS DIRETOS COM FERIDAS CRONICAS EM SERVICO AMBULATORIAL DE UMA UNIVERSIDADE PUBLICA NO NORDESTE BRASILEIRO
508,Eduardo Zapaterra Campos,,Frontiers in Immunology,,,Editorial: The role of different physical exercise protocols on immunological and immunometabolic profile in physiological and chronic diseases
509,Paulo Felipe Ribeiro Bandeira,,PLoS One,,,"Associations between fitness, movement behaviors, and immediate post-exercise blood pressure in older adults: A network perspective"
510,Paulo Felipe Ribeiro Bandeira,,Ciência & Saúde Coletiva,,,Association between the environment for physical activity in public schools and childhood obesity: a view in the light of complex systems
512,Paulo Felipe Ribeiro Bandeira,,Ciência & Saúde Coletiva,,,Association between the environment for physical activity in public schools and childhood obesity: a view in the light of complex systems
